,Date,open,high,low,close,vol tick
660,2019.07.19,134572,134999,134524,134597,93713
661,2019.07.22,134550,135080,134402,134525,86225
662,2019.07.23,134516,134977,134307,134582,88096
663,2019.07.24,134573,135270,134237,135027,88740
664,2019.07.25,135028,135663,134703,135238,83899
665,2019.07.26,135237,135383,134516,134537,64970
666,2019.07.29,134413,134558,132840,132878,67989
667,2019.07.30,132885,133064,131592,131930,101773
668,2019.07.31,131956,132986,131837,132225,116155
669,2019.08.01,132225,132544,130146,130178,133446
670,2019.08.02,130178,130412,129068,129598,171314
671,2019.08.05,129170,129591,128161,128608,174321
672,2019.08.06,128600,130057,128100,129479,171292
673,2019.08.07,129477,129571,128210,128999,185992
674,2019.08.08,128999,129322,128269,128654,126788
675,2019.08.09,128650,128737,126961,127048,118544
676,2019.08.12,127101,127510,126536,127122,124008
677,2019.08.13,127137,129211,126793,128683,140849
678,2019.08.14,128680,128743,127484,127648,155994
679,2019.08.15,127649,128975,127459,128168,166508
680,2019.08.16,128215,129565,128027,129161,120747
681,2019.08.19,129089,129525,128962,129287,97720
682,2019.08.20,129283,129626,128253,129213,112124
683,2019.08.21,129230,129662,128874,129226,105644
684,2019.08.22,129236,130685,128746,130367,113712
685,2019.08.23,130367,130559,128981,129437,143503
686,2019.08.26,128744,130136,128177,129622,202011
687,2019.08.27,129621,130378,128998,129896,151544
688,2019.08.28,129888,130058,128457,129526,152391
689,2019.08.29,129528,130024,128960,129713,140617
690,2019.08.30,129687,129819,129080,129234,131516
691,2019.09.02,128708,129306,127862,128093,98515
692,2019.09.03,128080,128242,126666,127988,152865
693,2019.09.04,127988,130426,127770,130293,146622
694,2019.09.05,130285,132150,129903,131812,147459
695,2019.09.06,131818,132117,131245,131333,128683
696,2019.09.09,131039,132544,130801,132356,106821
697,2019.09.10,132356,132901,132006,132832,95338
698,2019.09.11,132832,133354,132664,132866,97388
699,2019.09.12,132866,133633,132161,133304,111500
700,2019.09.13,133304,135185,133262,135049,91868
701,2019.09.16,135046,135046,133864,134354,102189
702,2019.09.17,134354,135416,133978,135100,97029
703,2019.09.18,135085,135649,134582,135202,86602
704,2019.09.19,135190,135506,134254,135251,93194
705,2019.09.20,135245,135856,134056,134089,81762
706,2019.09.23,134250,134539,133340,133663,88833
707,2019.09.24,133648,134593,133538,133726,107283
708,2019.09.25,133726,133994,132831,133035,93445
709,2019.09.26,133043,133282,132372,132835,77140
710,2019.09.27,132893,133271,132314,132615,83869
711,2019.09.30,132610,133329,132470,132821,72517
712,2019.10.01,132799,133349,131774,132522,92892
713,2019.10.02,132483,132609,131566,131807,84020
714,2019.10.03,131818,132538,131472,131775,91168
715,2019.10.04,131733,131982,131272,131823,74531
